sales_key,date_key,customer_key,movie_key,store_key,sales_amount
74,20070216,359,367,1,1.99
75,20070218,359,17,2,0.99
76,20070219,359,985,1,4.99
77,20070215,360,901,1,0.99
78,20070218,360,621,2,6.99
79,20070219,360,25,2,3.99
80,20070219,360,330,2,6.99
81,20070218,361,708,1,4.99
82,20070219,361,641,2,1.99
83,20070219,361,468,1,2.99
84,20070221,361,344,1,2.99
85,20070215,362,895,1,2.99
86,20070215,362,368,1,2.99
87,20070216,362,850,2,2.99
88,20070220,362,393,1,2.99
89,20070221,362,356,2,2.99
90,20070215,363,964,2,4.99
91,20070216,363,856,2,4.99
92,20070216,363,265,1,4.99
93,20070219,363,938,1,4.99
94,20070221,363,872,2,2.99
95,20070216,364,463,2,2.99
96,20070218,364,880,2,2.99
97,20070219,364,898,1,4.99
98,20070219,364,633,2,4.99
99,20070220,364,652,1,3.99
100,20070215,365,436,1,1.99
101,20070216,365,745,2,6.99
102,20070217,365,426,2,4.99
103,20070218,365,288,2,2.99
104,20070220,365,479,2,0.99
105,20070215,366,890,1,1.99
106,20070218,366,531,1,0.99
107,20070220,367,795,1,0.99
108,20070214,368,341,2,0.99
109,20070215,368,260,2,9.99
110,20070218,368,167,2,4.99
111,20070219,368,84,1,4.99
112,20070219,368,985,1,4.99
113,20070221,368,504,1,4.99
114,20070215,369,345,1,0.99
115,20070214,370,563,1,6.99
116,20070215,371,789,1,2.99
117,20070215,371,54,1,1.99
118,20070216,371,990,2,6.99
119,20070216,371,668,2,5.99
120,20070219,371,91,2,0.99
121,20070220,371,432,2,3.99
122,20070221,371,602,1,0.99
123,20070218,372,608,1,2.99
124,20070220,372,911,2,4.99
125,20070221,372,869,2,3.99
126,20070215,373,920,2,6.99
127,20070220,373,293,1,2.99
128,20070216,374,454,1,1.99
129,20070217,374,191,2,1.99
130,20070218,374,805,2,4.99
131,20070219,374,51,2,2.99
132,20070215,375,609,2,2.99
133,20070215,375,35,2,5.99
134,20070218,375,871,2,4.99
135,20070215,376,164,2,0.99
136,20070219,376,228,2,0.99
137,20070219,377,25,1,3.99
138,20070220,377,23,2,1.99
139,20070220,377,970,2,0.99
140,20070220,377,735,2,2.99
141,20070221,377,358,1,4.99
142,20070216,378,980,1,4.99
143,20070216,378,776,2,5.99
144,20070217,378,370,1,7.99
145,20070219,378,867,1,4.99
146,20070215,379,284,1,8.99
147,20070218,379,689,1,5.99
148,20070220,379,235,1,2.99
149,20070217,380,526,2,3.99
150,20070217,380,748,2,2.99
151,20070217,380,283,1,3.99
152,20070218,380,628,1,2.99
153,20070218,380,102,2,4.99
154,20070220,380,285,1,1.99
155,20070220,380,821,2,1.99
156,20070221,380,791,2,4.99
157,20070215,381,425,2,3.99
158,20070217,381,730,2,1.99
159,20070218,381,59,1,2.99
160,20070218,381,604,2,4.99
161,20070221,381,993,1,2.99
162,20070218,382,160,1,0.99
163,20070218,382,398,2,4.99
164,20070218,382,873,2,1.99
165,20070218,382,561,1,2.99
166,20070220,382,725,1,4.99
167,20070216,383,572,2,7.99
168,20070218,383,109,2,2.99
169,20070218,383,433,1,2.99
170,20070218,383,505,2,2.99
171,20070219,383,487,2,7.99
172,20070220,383,188,1,2.99
173,20070217,384,625,1,0.99
174,20070217,384,416,2,0.99
175,20070218,384,614,1,7.99
176,20070218,384,838,2,5.99
177,20070220,384,600,1,3.99
178,20070220,384,670,1,9.99
179,20070220,384,378,1,4.99
180,20070216,385,930,1,2.99
181,20070217,385,281,1,0.99
182,20070220,385,26,1,0.99
183,20070216,386,373,1,3.99
184,20070216,386,566,1,2.99
185,20070216,386,368,1,5.99
186,20070219,386,132,2,0.99
187,20070221,386,349,1,2.99
188,20070215,387,894,2,0.99
189,20070215,387,132,1,0.99
190,20070217,387,924,2,0.99
191,20070217,387,489,2,0.99
192,20070220,387,115,2,5.99
193,20070221,387,7,2,4.99
194,20070215,388,330,1,6.99
195,20070217,388,54,1,0.99
196,20070219,388,767,1,5.99
197,20070219,388,694,1,4.99
198,20070220,388,7,1,7.99
199,20070216,389,422,2,4.99
200,20070217,389,507,2,4.99
201,20070219,389,143,2,3.99
202,20070215,390,59,2,5.99
203,20070216,390,302,1,2.99
204,20070217,390,735,2,2.99
205,20070218,390,933,1,7.99
206,20070220,390,133,2,5.99
207,20070215,391,602,1,0.99
208,20070217,391,309,1,0.99
209,20070217,391,122,1,2.99
210,20070219,391,303,1,2.99
211,20070220,391,577,1,2.99
212,20070215,392,528,1,6.99
213,20070216,392,154,2,2.99
214,20070218,392,442,1,2.99
215,20070220,392,753,2,4.99
216,20070216,393,378,2,6.99
217,20070217,393,574,2,1.99
218,20070218,393,410,1,2.99
219,20070218,393,331,2,4.99
220,20070220,393,646,1,2.99
221,20070215,394,167,1,4.99
222,20070215,395,12,1,0.99
223,20070216,395,130,1,0.99
224,20070216,395,728,1,0.99
225,20070220,395,338,2,4.99
226,20070221,395,374,2,0.99
227,20070221,395,159,1,6.99
228,20070215,396,140,1,1.99
229,20070215,396,888,1,4.99
230,20070215,396,582,2,6.99
231,20070216,397,272,1,5.99
232,20070220,397,877,2,1.99
233,20070215,398,977,2,2.99
234,20070217,398,103,1,6.99
235,20070220,398,392,1,9.99
236,20070220,399,991,1,2.99
237,20070220,399,975,2,5.99
238,20070215,400,23,1,0.99
239,20070217,400,586,1,3.99
240,20070217,400,151,1,6.99
241,20070214,402,826,2,4.99
242,20070218,402,420,2,4.99
243,20070220,402,758,2,2.99
244,20070215,403,460,2,4.99
245,20070215,403,460,1,8.99
246,20070218,403,295,1,3.99
247,20070220,403,86,2,4.99
248,20070220,403,114,2,6.99
249,20070221,403,989,1,5.99
250,20070215,404,890,2,2.99
251,20070216,404,75,2,4.99
252,20070219,404,451,2,4.99
253,20070220,404,638,1,2.99
254,20070215,405,842,1,4.99
255,20070217,405,629,2,0.99
256,20070217,405,776,1,5.99
257,20070219,405,809,2,3.99
258,20070221,405,645,2,4.99
259,20070221,405,415,1,5.99
260,20070217,406,330,1,4.99
261,20070217,406,415,2,3.99
262,20070218,406,204,2,2.99
263,20070218,406,164,2,0.99
264,20070219,406,18,2,0.99
265,20070220,406,702,2,7.99
266,20070221,406,364,1,4.99
267,20070216,407,322,2,2.99
268,20070219,407,493,2,0.99
269,20070218,408,354,2,4.99
270,20070219,408,873,1,2.99
271,20070219,408,169,2,2.99
272,20070215,409,496,2,5.99
273,20070218,409,568,2,8.99
274,20070215,410,645,1,2.99
275,20070217,410,772,2,2.99
276,20070218,410,5,2,4.99
277,20070218,410,702,1,5.99
278,20070220,410,348,2,0.99
279,20070221,410,154,1,4.99
280,20070217,411,18,1,0.99
281,20070217,411,185,1,2.99
282,20070219,411,688,2,0.99
283,20070221,412,724,2,2.99
284,20070217,413,301,2,5.99
285,20070219,413,710,2,4.99
286,20070218,414,933,1,4.99
287,20070219,414,969,1,9.99
288,20070221,414,246,2,5.99
289,20070217,415,773,2,4.99
290,20070220,415,254,2,2.99
291,20070214,416,356,2,2.99
292,20070215,416,522,2,4.99
293,20070216,416,877,1,0.99
294,20070216,416,559,2,2.99
295,20070216,416,383,2,0.99
296,20070217,417,953,1,3.99
297,20070219,418,571,2,2.99
298,20070220,418,569,1,2.99
299,20070220,418,380,1,2.99
300,20070219,419,160,1,2.99
301,20070219,420,257,2,3.99
302,20070219,420,851,2,0.99
303,20070219,420,651,1,0.99
304,20070216,421,521,1,4.99
305,20070218,421,559,1,2.99
306,20070220,421,288,2,4.99
307,20070216,422,376,1,0.99
308,20070217,422,900,1,4.99
309,20070219,422,302,2,2.99
310,20070219,422,737,2,5.99
311,20070215,423,790,2,3.99
312,20070216,423,833,2,0.99
313,20070219,423,103,2,6.99
314,20070219,423,777,2,6.99
315,20070220,423,897,2,8.99
316,20070220,424,706,2,4.99
317,20070220,424,403,1,6.99
318,20070221,424,436,2,0.99
319,20070221,425,412,1,6.99
320,20070216,426,767,1,6.99
321,20070216,426,322,1,7.99
322,20070218,426,252,1,2.99
323,20070219,426,18,1,0.99
324,20070221,426,560,1,0.99
325,20070215,427,968,1,5.99
326,20070216,427,191,1,3.99
327,20070216,427,101,1,5.99
328,20070216,427,925,2,1.99
329,20070218,427,299,1,0.99
330,20070215,428,142,1,3.99
331,20070215,428,122,2,2.99
332,20070216,428,684,2,3.99
333,20070219,428,958,1,2.99
334,20070221,428,402,1,0.99
335,20070216,429,623,2,5.99
336,20070216,429,361,1,2.99
337,20070217,429,968,1,7.99
338,20070221,429,740,2,2.99
339,20070215,430,492,1,0.99
340,20070215,430,608,1,2.99
341,20070215,430,154,2,2.99
342,20070216,430,307,1,6.99
343,20070220,430,656,2,0.99
344,20070220,430,143,1,0.99
345,20070216,431,489,1,2.99
346,20070217,431,239,1,4.99
347,20070218,431,679,1,3.99
348,20070218,431,915,2,4.99
349,20070219,431,462,1,2.99
350,20070221,431,465,2,6.99
351,20070221,431,68,2,8.99
352,20070214,432,686,1,5.99
353,20070216,432,162,2,2.99
354,20070220,432,398,2,4.99
355,20070215,434,418,2,0.99
356,20070216,434,775,1,5.99
357,20070218,434,682,1,7.99
358,20070218,434,433,1,3.99
359,20070218,434,290,1,3.99
360,20070220,434,471,1,2.99
361,20070220,434,443,1,2.99
362,20070215,435,545,1,0.99
363,20070220,435,395,2,0.99
364,20070218,436,861,2,9.99
365,20070218,437,966,2,5.99
366,20070219,437,672,1,2.99
367,20070221,437,794,1,2.99
368,20070215,438,702,1,4.99
369,20070216,438,233,1,0.99
370,20070218,438,797,2,0.99
371,20070219,438,979,1,4.99
372,20070221,438,893,2,4.99
373,20070221,438,119,2,0.99
374,20070215,439,908,1,4.99
375,20070216,439,574,1,0.99
376,20070217,439,123,2,4.99
377,20070219,439,379,2,2.99
378,20070220,439,735,2,2.99
379,20070221,439,521,2,6.99
380,20070216,441,385,2,4.99
381,20070218,441,501,1,4.99
382,20070215,442,728,1,5.99
383,20070215,442,440,2,0.99
384,20070216,442,227,2,8.99
385,20070216,442,672,2,2.99
386,20070219,443,377,1,2.99
387,20070215,444,816,1,0.99
388,20070215,444,397,2,3.99
389,20070215,444,454,1,1.99
390,20070219,444,437,1,4.99
391,20070221,444,112,1,7.99
392,20070221,444,774,1,5.99
393,20070218,446,435,1,4.99
394,20070218,446,864,2,3.99
395,20070218,446,911,1,6.99
396,20070219,446,650,1,0.99
397,20070220,446,450,1,2.99
398,20070220,446,525,2,0.99
399,20070215,447,504,2,0.99
400,20070217,447,382,2,2.99
401,20070217,447,267,1,4.99
402,20070218,447,165,1,4.99
403,20070215,448,361,2,5.99
404,20070216,448,846,2,7.99
405,20070219,448,491,1,0.99
406,20070221,448,225,1,3.99
407,20070221,448,944,2,5.99
408,20070215,449,637,1,4.99
409,20070218,449,790,2,0.99
410,20070220,449,258,2,2.99
411,20070216,450,39,1,4.99
412,20070216,450,560,2,0.99
413,20070217,450,747,1,2.99
414,20070218,450,258,2,0.99
415,20070218,450,263,2,4.99
416,20070219,450,618,2,2.99
417,20070220,450,101,1,4.99
418,20070215,451,619,2,0.99
419,20070216,451,249,1,0.99
420,20070217,451,21,2,6.99
421,20070219,451,467,2,1.99
422,20070220,451,370,2,3.99
423,20070220,451,140,2,0.99
424,20070221,451,720,2,6.99
425,20070215,452,481,1,4.99
426,20070215,452,356,1,5.99
427,20070216,452,111,2,3.99
428,20070218,452,717,1,0.99
429,20070218,452,570,2,4.99
430,20070218,452,367,1,0.99
431,20070219,452,797,2,0.99
432,20070219,453,591,2,5.99
433,20070219,453,564,2,7.99
434,20070220,453,239,2,4.99
435,20070216,454,421,2,4.99
436,20070216,454,501,2,7.99
437,20070216,454,27,1,1.99
438,20070217,454,123,2,4.99
439,20070217,454,446,2,5.99
440,20070217,454,765,1,5.99
441,20070218,454,391,1,2.99
442,20070219,454,408,2,9.99
443,20070221,454,55,1,2.99
444,20070221,454,284,2,4.99
445,20070215,455,688,2,1.99
446,20070216,455,907,1,1.99
447,20070217,455,234,1,2.99
448,20070218,455,477,2,0.99
449,20070215,456,181,2,2.99
450,20070216,456,924,2,0.99
451,20070217,456,321,1,5.99
452,20070217,456,73,1,6.99
453,20070218,456,411,1,4.99
454,20070218,456,899,1,0.99
455,20070219,456,83,1,2.99
456,20070215,457,721,1,4.99
457,20070216,457,647,2,0.99
458,20070217,457,877,1,0.99
459,20070217,457,640,2,7.99
460,20070219,457,771,1,4.99
461,20070219,457,753,1,3.99
462,20070219,457,850,1,0.99
463,20070220,457,474,2,2.99
464,20070220,457,697,2,2.99
465,20070219,458,393,1,5.99
466,20070221,458,942,1,0.99
467,20070217,459,85,2,0.99
468,20070217,459,540,1,2.99
469,20070217,459,527,1,4.99
470,20070220,459,417,1,0.99
471,20070220,459,587,1,4.99
472,20070220,459,673,2,0.99
473,20070221,459,715,2,9.99
474,20070215,460,79,2,0.99
475,20070220,461,285,2,5.99
476,20070221,461,544,2,4.99
477,20070216,462,961,1,5.99
478,20070217,462,768,1,9.99
479,20070221,462,365,2,4.99
480,20070215,463,304,1,2.99
481,20070218,463,86,1,4.99
482,20070220,463,230,1,2.99
483,20070221,463,56,1,4.99
484,20070215,464,15,2,4.99
485,20070220,464,78,1,2.99
486,20070215,465,873,2,2.99
487,20070217,465,843,2,4.99
488,20070217,465,680,2,8.99
489,20070218,465,97,2,0.99
490,20070216,466,529,1,7.99
491,20070218,466,284,1,8.99
492,20070220,466,819,1,3.99
493,20070221,466,961,2,4.99
494,20070221,466,443,2,2.99
495,20070216,467,878,2,8.99
496,20070217,467,28,1,4.99
497,20070219,467,48,2,9.99
498,20070221,467,161,1,6.99
499,20070215,468,463,1,2.99
500,20070216,468,898,1,8.99
501,20070216,468,705,1,2.99
502,20070217,468,554,1,2.99
503,20070218,468,465,1,4.99
504,20070219,468,891,1,0.99
505,20070215,469,314,1,0.99
506,20070216,469,971,1,9.99
507,20070215,470,314,2,0.99
508,20070215,470,697,2,0.99
509,20070216,470,844,2,7.99
510,20070215,471,219,1,4.99
511,20070215,471,333,2,2.99
512,20070217,471,522,2,2.99
513,20070218,471,263,1,4.99
514,20070220,471,694,2,4.99
515,20070215,472,215,1,4.99
516,20070216,472,307,2,6.99
517,20070219,472,284,2,5.99
518,20070220,472,504,1,0.99
519,20070220,472,938,2,4.99
520,20070221,472,850,2,0.99
521,20070216,473,531,2,0.99
522,20070217,473,937,2,2.99
523,20070219,473,205,1,4.99
524,20070219,473,113,2,4.99
525,20070216,474,582,2,8.99
526,20070220,474,340,1,7.99
527,20070216,476,468,1,3.99
528,20070217,476,273,1,0.99
529,20070218,476,941,2,4.99
530,20070221,476,129,2,2.99
531,20070216,477,117,1,6.99
532,20070217,477,304,1,2.99
533,20070218,477,46,2,10.99
534,20070219,477,858,2,4.99
535,20070216,478,488,2,0.99
536,20070218,478,376,2,4.99
537,20070218,478,501,1,6.99
538,20070219,478,127,1,8.99
539,20070219,478,228,1,4.99
540,20070221,478,603,1,4.99
541,20070217,479,638,2,2.99
542,20070217,479,735,1,3.99
543,20070217,479,22,1,2.99
544,20070217,479,628,2,3.99
545,20070218,479,800,2,2.99
546,20070219,479,374,2,6.99
547,20070215,480,595,2,0.99
548,20070216,480,118,2,0.99
549,20070214,481,952,1,2.99
550,20070218,481,995,1,4.99
551,20070221,481,211,1,4.99
552,20070221,481,963,2,0.99
553,20070220,482,958,2,2.99
554,20070221,482,562,1,0.99
555,20070219,483,765,1,4.99
556,20070219,483,19,1,0.99
557,20070221,483,706,1,8.99
558,20070215,484,514,2,3.99
559,20070216,484,298,2,3.99
560,20070217,484,827,1,4.99
561,20070217,484,527,2,5.99
562,20070216,485,175,2,2.99
563,20070216,485,771,2,8.99
564,20070217,486,20,1,4.99
565,20070217,486,503,1,5.99
566,20070219,486,110,1,2.99
567,20070219,486,707,2,2.99
568,20070220,487,530,1,3.99
569,20070216,488,807,2,3.99
570,20070216,488,967,2,5.99
571,20070216,489,5,2,3.99
572,20070218,489,406,2,0.99
573,20070218,489,583,1,7.99
574,20070219,489,887,1,4.99
575,20070216,490,573,1,3.99
576,20070215,491,252,1,2.99
577,20070215,491,166,1,4.99
578,20070217,491,805,2,4.99
579,20070218,491,893,1,4.99
580,20070218,491,625,1,4.99
581,20070220,491,263,2,4.99
582,20070221,491,187,2,3.99
583,20070216,492,970,2,1.99
584,20070216,492,973,2,4.99
585,20070217,492,307,2,4.99
586,20070221,492,98,1,9.99
587,20070217,493,498,1,3.99
588,20070218,493,683,1,4.99
589,20070219,493,840,1,0.99
590,20070219,493,235,1,2.99
591,20070216,494,514,1,2.99
592,20070217,495,15,1,2.99
593,20070218,495,336,1,4.99
594,20070219,495,843,2,7.99
595,20070220,495,388,2,3.99
596,20070219,496,49,1,2.99
597,20070217,497,778,2,8.99
598,20070218,497,272,1,5.99
599,20070218,497,292,1,2.99
600,20070219,497,518,2,4.99
601,20070215,498,711,2,6.99
602,20070216,498,395,2,2.99
603,20070218,498,438,2,2.99
604,20070218,498,792,2,4.99
605,20070220,498,747,2,0.99
606,20070221,498,613,1,0.99
607,20070215,499,914,2,2.99
608,20070215,499,422,2,4.99
609,20070216,499,873,1,4.99
610,20070221,499,315,2,1.99
611,20070215,500,777,1,5.99
612,20070215,500,869,1,5.99
613,20070217,500,56,1,3.99
614,20070218,500,728,2,6.99
615,20070220,500,886,1,2.99
616,20070221,501,876,1,5.99
617,20070221,501,666,1,7.99
618,20070216,502,857,1,7.99
619,20070218,502,54,2,0.99
620,20070220,502,796,1,0.99
621,20070217,503,305,2,4.99
622,20070218,503,621,1,2.99
623,20070221,503,352,2,0.99
624,20070219,504,786,2,1.99
625,20070220,504,390,1,6.99
626,20070216,505,624,2,5.99
627,20070217,505,515,2,4.99
628,20070219,505,902,1,7.99
629,20070220,505,172,1,5.99
630,20070215,506,433,2,6.99
631,20070215,506,150,2,2.99
632,20070216,506,840,1,0.99
633,20070219,506,210,2,9.99
634,20070219,506,631,1,6.99
635,20070215,507,81,1,4.99
636,20070217,507,278,1,4.99
637,20070218,507,446,2,4.99
638,20070216,508,525,1,4.99
639,20070215,509,923,2,2.99
640,20070220,509,621,2,4.99
641,20070215,510,608,2,5.99
642,20070216,510,981,1,0.99
643,20070217,510,870,2,0.99
644,20070219,510,972,2,8.99
645,20070219,510,458,2,0.99
646,20070219,510,762,2,0.99
647,20070221,510,126,2,8.99
648,20070221,510,326,2,5.99
649,20070215,511,649,2,2.99
650,20070215,511,252,2,2.99
651,20070220,511,763,2,10.99
652,20070221,511,567,1,4.99
653,20070214,512,596,1,6.99
654,20070217,512,203,2,4.99
655,20070218,512,625,2,2.99
656,20070216,513,724,2,2.99
657,20070218,513,44,2,7.99
658,20070219,513,688,2,1.99
659,20070216,514,775,1,4.99
660,20070217,514,525,2,3.99
661,20070218,514,618,2,0.99
662,20070219,514,524,2,0.99
663,20070220,514,783,1,2.99
664,20070221,514,617,1,0.99
665,20070215,515,229,2,4.99
666,20070215,515,304,2,5.99
667,20070217,515,347,1,4.99
668,20070218,515,330,2,4.99
669,20070218,515,741,1,0.99
670,20070220,515,862,2,3.99
671,20070214,516,961,1,4.99
672,20070215,516,732,1,1.99
673,20070216,516,65,2,10.99
674,20070217,516,314,1,0.99
675,20070220,516,427,1,0.99
676,20070221,516,26,2,2.99
677,20070216,517,499,1,4.99
678,20070216,517,239,1,8.99
679,20070216,517,166,1,4.99
680,20070219,517,557,1,2.99
681,20070220,517,790,2,0.99
682,20070216,518,179,1,5.99
683,20070221,518,753,2,0.99
684,20070217,519,236,2,2.99
685,20070218,519,365,1,8.99
686,20070220,519,317,2,5.99
687,20070215,520,492,1,0.99
688,20070217,520,723,1,6.99
689,20070219,520,271,1,4.99
690,20070216,521,345,1,0.99
691,20070217,521,931,2,0.99
692,20070215,522,693,1,3.99
693,20070220,522,253,1,8.99
694,20070220,522,541,2,2.99
695,20070220,522,949,2,0.99
696,20070216,523,738,2,6.99
697,20070218,523,512,1,8.99
698,20070219,523,871,1,7.99
699,20070219,523,600,1,0.99
700,20070215,524,461,2,1.99
701,20070216,524,971,1,4.99
702,20070221,524,660,2,2.99
703,20070216,525,281,2,2.99
704,20070215,526,313,2,4.99
705,20070216,526,832,1,0.99
706,20070217,526,583,1,7.99
707,20070217,526,605,2,2.99
708,20070217,526,698,2,2.99
709,20070218,526,658,2,4.99
710,20070219,526,709,2,2.99
711,20070220,526,966,2,6.99
712,20070221,526,70,1,6.99
713,20070215,527,962,1,2.99
714,20070218,527,696,2,0.99
715,20070218,527,140,2,0.99
716,20070219,527,977,2,2.99
717,20070217,528,361,1,2.99
718,20070217,528,502,2,4.99
719,20070215,529,155,1,1.99
720,20070216,529,849,1,0.99
721,20070221,529,241,1,0.99
722,20070215,530,79,2,1.99
723,20070215,530,810,1,0.99
724,20070217,530,55,1,2.99
725,20070220,531,483,1,2.99
726,20070216,532,31,1,4.99
727,20070219,532,559,2,3.99
728,20070215,533,532,2,5.99
729,20070216,533,748,2,0.99
730,20070216,533,746,2,0.99
731,20070217,533,704,1,2.99
732,20070219,533,667,2,6.99
733,20070220,533,589,2,0.99
734,20070216,534,776,2,4.99
735,20070216,534,201,1,2.99
736,20070218,534,732,1,0.99
737,20070220,534,839,2,1.99
738,20070220,534,158,1,4.99
739,20070216,535,300,2,4.99
740,20070221,535,545,2,4.99
741,20070216,536,35,1,4.99
742,20070217,536,958,1,2.99
743,20070218,536,592,1,2.99
744,20070215,537,700,2,2.99
745,20070217,537,760,2,2.99
746,20070219,537,893,1,8.99
747,20070220,537,304,2,8.99
748,20070215,538,300,1,5.99
749,20070217,538,898,2,4.99
750,20070219,538,789,1,4.99
751,20070220,538,329,1,2.99
752,20070215,539,42,2,3.99
753,20070215,539,89,2,0.99
754,20070215,539,287,2,4.99
755,20070215,540,900,2,2.99
756,20070215,540,417,2,4.99
757,20070219,540,158,2,2.99
758,20070220,540,397,2,3.99
759,20070221,540,649,2,3.99
760,20070217,541,636,1,2.99
761,20070219,541,583,2,6.99
762,20070219,542,842,1,4.99
763,20070220,542,879,1,10.99
764,20070216,543,767,1,4.99
765,20070218,543,104,2,2.99
766,20070220,543,845,1,4.99
767,20070220,543,43,1,2.99
768,20070221,543,159,2,5.99
769,20070215,544,848,1,1.99
770,20070215,544,919,1,10.99
771,20070218,544,610,1,0.99
772,20070218,544,200,1,2.99
773,20070217,545,548,1,2.99
774,20070214,546,651,2,1.99
775,20070215,546,741,2,0.99
776,20070216,546,837,2,3.99
777,20070218,546,775,2,5.99
778,20070217,547,670,2,8.99
779,20070215,548,11,2,1.99
780,20070218,548,998,2,2.99
781,20070220,548,951,2,0.99
782,20070217,549,428,1,2.99
783,20070215,550,916,1,6.99
784,20070217,550,976,1,3.99
785,20070217,550,767,2,4.99
786,20070220,550,702,1,2.99
787,20070221,550,327,1,9.99
788,20070221,550,243,1,10.99
789,20070217,551,602,2,4.99
790,20070219,551,376,2,3.99
791,20070218,552,130,2,0.99
792,20070221,552,131,1,4.99
793,20070216,553,726,2,3.99
794,20070218,553,857,2,8.99
795,20070220,553,409,1,6.99
796,20070217,554,320,2,4.99
797,20070218,554,426,2,6.99
798,20070221,554,621,2,2.99
799,20070221,554,226,2,6.99
800,20070221,555,430,2,1.99
801,20070217,556,968,1,6.99
802,20070219,556,442,1,5.99
803,20070220,556,105,2,0.99
804,20070220,556,556,1,4.99
805,20070221,556,382,1,6.99
806,20070216,557,875,2,0.99
807,20070220,557,694,1,6.99
808,20070220,557,524,1,3.99
809,20070217,558,708,2,4.99
810,20070218,558,727,1,1.99
811,20070219,558,320,2,4.99
812,20070220,558,769,2,4.99
813,20070221,558,764,2,10.99
814,20070219,559,644,1,4.99
815,20070219,559,82,1,0.99
816,20070220,559,103,2,4.99
817,20070221,559,345,2,1.99
818,20070215,560,84,1,4.99
819,20070216,560,910,2,1.99
820,20070214,561,983,1,2.99
821,20070215,561,649,2,2.99
822,20070216,561,86,1,4.99
823,20070217,561,456,2,4.99
824,20070218,561,292,2,5.99
825,20070219,561,935,2,0.99
826,20070220,561,314,2,4.99
827,20070220,561,945,1,4.99
828,20070221,561,122,1,0.99
829,20070217,562,951,2,3.99
830,20070219,562,265,1,4.99
831,20070219,562,206,2,3.99
832,20070221,562,311,2,4.99
833,20070215,563,166,2,4.99
834,20070219,563,737,1,0.99
835,20070216,564,24,1,2.99
836,20070215,565,307,2,4.99
837,20070218,565,256,2,5.99
838,20070221,565,551,1,5.99
839,20070216,566,264,2,5.99
840,20070217,566,243,2,4.99
841,20070218,566,890,2,0.99
842,20070221,566,439,2,4.99
843,20070219,567,543,1,4.99
844,20070220,567,286,2,2.99
845,20070216,568,61,1,4.99
846,20070218,568,203,2,4.99
847,20070219,568,687,2,0.99
848,20070221,568,255,1,4.99
849,20070221,568,119,2,1.99
850,20070215,569,654,2,6.99
851,20070216,569,544,2,5.99
852,20070215,570,974,1,4.99
853,20070215,570,294,2,4.99
854,20070216,570,254,2,2.99
855,20070217,570,451,1,5.99
856,20070217,570,930,2,6.99
857,20070218,570,382,2,3.99
858,20070220,570,489,2,2.99
859,20070215,571,869,1,4.99
860,20070215,571,51,2,3.99
861,20070216,571,307,1,4.99
862,20070217,571,322,1,4.99
863,20070218,571,298,2,2.99
864,20070220,571,580,1,10.99
865,20070217,572,853,1,10.99
866,20070217,572,249,2,0.99
867,20070218,572,130,2,0.99
868,20070216,573,975,1,4.99
869,20070219,573,305,1,5.99
870,20070220,573,992,2,1.99
871,20070221,573,371,1,7.99
